CaseID,weight_pop,B3_trans,ND2_trans,B7_b_trans,GH1_trans,race_trans,educ_trans,B3_binary,ND2_num,B7_b_num,GH1_num,race_num,educ_num
1,12033.6823,5,2,1,3,1,4,1,2,1,3,1,4
2,21579.2115,3,3,2,2,1,4,1,3,2,2,1,4
3,20043.8925,3,3,2,3,3,3,1,3,2,3,3,3
4,21793.3678,2,3,1,3,1,4,0,3,1,3,1,4
5,13900.4068,2,1,2,1,1,4,0,1,2,1,1,4
6,19712.6649,2,3,2,1,1,2,0,3,2,1,1,2
7,21304.4017,2,3,1,3,1,4,0,3,1,3,1,4
8,22073.6463,3,3,1,3,2,3,1,3,1,3,2,3
9,19689.1633,3,2,2,3,1,3,1,2,2,3,1,3
10,11108.9163,3,3,2,3,1,4,1,3,2,3,1,4
11,22386.3929,3,2,1,4,1,2,1,2,1,4,1,2
12,12868.1023,1,2,1,1,1,4,0,2,1,1,1,4
13,9879.7232,4,3,3,1,1,4,1,3,3,1,1,4
14,14052.8508,2,1,3,1,1,4,0,1,3,1,1,4
15,22386.3929,3,3,1,2,1,2,1,3,1,2,1,2
16,5007.2256,2,3,2,2,5,3,0,3,2,2,5,3
17,24377.4595,2,3,1,1,1,3,0,3,1,1,1,3
18,11108.9163,2,2,2,2,1,4,0,2,2,2,1,4
19,14146.183,1,3,1,2,1,3,0,3,1,2,1,3
20,23769.8113,3,3,3,3,1,3,1,3,3,3,1,3
21,19419.7496,3,3,2,1,1,3,1,3,2,1,1,3
22,44091.6919,4,2,3,1,4,3,1,2,3,1,4,3
23,26564.0534,3,3,1,2,5,1,1,3,1,2,5,1
24,13150.606,2,3,1,2,1,3,0,3,1,2,1,3
25,18746.3744,2,3,2,1,1,2,0,3,2,1,1,2
26,15327.3057,3,3,2,1,1,2,1,3,2,1,1,2
27,18880.3487,2,3,1,2,1,3,0,3,1,2,1,3
28,36242.7783,3,3,2,2,1,2,1,3,2,2,1,2
29,24602.1489,3,3,2,1,2,2,1,3,2,1,2,2
30,16302.7652,4,3,2,1,1,4,1,3,2,1,1,4
31,26867.235,3,2,3,1,2,2,1,2,3,1,2,2
32,33308.8772,5,3,3,1,5,3,1,3,3,1,5,3
33,22420.6834,5,3,3,2,3,3,1,3,3,2,3,3
34,16834.7006,5,3,3,3,3,4,1,3,3,3,3,4
35,42203.7391,4,2,2,1,3,2,1,2,2,1,3,2
36,27385.2386,2,2,1,3,2,3,0,2,1,3,2,3
37,9731.6919,2,3,1,1,1,4,0,3,1,1,1,4
38,10151.1496,3,3,2,2,1,4,1,3,2,2,1,4
39,13758.0583,2,3,1,1,1,2,0,3,1,1,1,2
40,15092.0511,2,3,2,1,1,4,0,3,2,1,1,4
41,12953.5659,2,3,2,2,1,3,0,3,2,2,1,3
42,21050.3141,3,2,3,1,2,4,1,2,3,1,2,4
43,15464.7741,2,3,2,2,1,3,0,3,2,2,1,3
